bird,trk,site,cell,pd.sum,species,test.dir1,dir1.area,test.dir2,dir2.area,pref.speed,sp80.1,sp80.2,sp80.3,sp80.4,sp80.5,sp80.6,sp80.7,sp80.8,sp80.9,sp80.10,sp80.11,sp80.12,tune50,tune55,tune60,tune65,tune70,tune75,tune80,tune85,tune90,tune95
200,1,2586,2,129.4866167,2,135,5.810842812,315,-1.928703642,47.99,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,2,1,1,1,1,1,1
200,1,2586,3,89.30090903,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1,2658,1,79.21710939,2,90,12.28678542,270,-45.11168839,64.02,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,2
200,1,2658,2,123.3117317,2,90,2.456980765,270,-18.54963814,24,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
200,1,2658,3,119.9081396,2,90,5.575415245,270,-5.145058857,64.02,0,0,0,0,0,0,0,0,1,0,1,0,3,3,3,3,2,2,2,2,1,1
200,1,2658,4,107.3924671,2,90,-6.996940745,270,-26.30530253,1.98,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,2,2,1,1,1,1,1
200,2,2974,1,196.3966895,2,180,15.6024964,0,-11.46491752,79.86,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,2,2,1,1,1,1,1
200,2,2974,2,197.6179301,2,180,19.91239412,0,-27.09312242,79.86,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,3,2,2,2
200,4,2824,1,192.0036805,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,4,2824,2,108.3780336,2,90,2.281052546,270,1.971672462,64.02,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,1,1,1,1
200,4,2824,3,136.157473,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,4,2824,4,234.795673,2,270,-3.848101823,90,1.117128701,16.03,0,0,0,0,0,0,1,0,1,0,0,0,6,6,5,5,5,3,2,1,1,1
201,4,2519,1,37.53460749,2,0,17.76168746,180,7.448612938,47.99,0,0,0,0,0,0,1,0,0,1,0,1,6,5,4,3,3,3,3,1,1,1
201,4,2519,2,16.5068203,2,0,11.06942543,180,7.751562666,47.99,0,0,0,0,0,0,1,0,0,1,1,0,7,7,6,5,5,4,3,3,2,2
201,4,2927,1,179.5931235,2,180,-12.88137386,0,1.380524045,1.98,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
201,4,2927,2,2.763399692,2,0,14.75463372,180,-21.03630666,24,0,0,0,0,0,0,0,1,0,1,0,1,6,6,6,5,3,3,3,2,2,1
201,4,2927,3,184.2582318,2,180,-1.820896387,0,-1.790701596,1.98,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
201,5,2956,1,348.5705874,2,0,1.420670853,180,-18.75742441,4.03,0,0,0,0,1,1,0,0,1,0,0,0,5,5,4,4,3,3,3,3,2,1
201,5,2956,2,345.4381659,2,0,11.35434378,180,-18.25237394,32.03,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
201,6,2541,1,352.1904212,2,0,21.7670459,180,-2.831005973,64.02,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,3,2,1,1,1,1,1
201,6,2541,2,356.6797031,2,0,22.90747174,180,-21.50568298,24,0,0,0,0,0,0,0,1,1,0,0,0,5,5,5,2,2,2,2,2,2,2
201,6,2541,3,337.3329296,2,0,11.42374468,180,-2.727374553,64.02,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,1,1,1,1,1,1
201,6,2601,1,22.10427457,2,0,14.2450544,180,-1.912012043,79.86,0,0,0,0,0,0,0,0,0,1,1,1,5,4,4,4,4,3,3,2,2,2
201,6,2601,2,284.1924688,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,6,2601,3,33.32267562,2,0,10.65133884,180,-0.65315002,47.99,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,2,2,2,1,1,1,1
201,6,3056,1,347.7396245,2,0,28.6927327,180,-37.8520611,64.02,0,0,0,0,0,0,0,1,1,1,1,0,5,5,5,5,5,4,4,4,2,2
201,6,3056,2,289.1062602,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,6,3056,3,326.7485298,2,0,11.33070634,180,4.784739664,64.02,0,0,0,0,0,0,0,1,1,0,1,0,3,3,3,3,3,3,3,2,2,2
202,1,3011,1,315.3121555,2,315,35.59909304,135,14.4453017,64.02,0,0,0,0,0,0,0,0,0,1,1,1,6,5,5,4,3,3,3,2,1,1
202,1,3011,2,347.2107308,2,315,35.30641517,135,13.76362163,64.02,0,0,0,0,0,0,0,0,0,1,1,1,6,5,5,4,3,3,3,2,2,2
202,2,3106,2,255.3561628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,2,3167,1,88.46505496,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,2,3167,3,71.25762197,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,3,2809,1,147.0037709,2,135,43.04800191,315,-2.064600586,47.99,0,0,0,0,0,0,0,1,1,1,1,0,6,6,5,4,4,4,4,3,3,2
