time,stim,spike
30.984,0,-0.00299
30.985,0,-0.00192
30.986,0,0.00571
30.987,0,0.00351
30.988,0,0.00488
30.989,0,-0.00659
30.99,0,0.00159
30.991,0,0.01035
30.992,0,0.00183
30.993,0,8.5e-4
30.994,0,0.0015
30.995,0,0.00217
30.996,0,0.00311
30.997,0,0.00171
30.998,0,0.0043
30.999,0,-1.8e-4
31,0,0.00659
31.001,0,0.00308
31.002,0,0.00333
31.003,0,0.00198
31.004,0,0.00287
31.005,0,0.00778
31.006,0,3.4e-4
31.007,0,0.0011
31.008,0,9.2e-4
31.009,0,5.8e-4
31.01,0,0.00421
31.011,0,0.00589
31.012,0,-3.1e-4
31.013,0,0.00323
31.014,0,0.00702
31.015,0,0.00851
31.016,0,0.00873
31.017,0,0.00537
31.018,0,0.00409
31.019,0,1.8e-4
31.02,0,-0.00497
31.021,0,0.00687
31.022,0,-7e-4
31.023,0,0.00174
31.024,0,0.00995
31.025,0,0.00146
31.026,0,-4.3e-4
31.027,0,0.00708
31.028,0,-0.00128
31.029,0,0.00635
31.03,0,0.00409
31.031,0,0.00128
31.032,0,0.00745
31.033,0,0.00327
31.034,0,-0.00143
31.035,0,-3.1e-4
31.036,0,-0.00287
31.037,0,-0.0011
31.038,0,0.00354
31.039,0,-0.00131
31.04,0,0.00104
31.041,0,0.00122
31.042,0,0.00629
31.043,0,0.00183
31.044,0,0.00555
31.045,0,2.7e-4
31.046,0,0.0018
31.047,0,0.00613
31.048,0,0.00534
31.049,0,0.00473
31.05,0,8.5e-4
31.051,0,0.0014
31.052,0,0.00128
31.053,0,0.00284
31.054,0,0.00586
31.055,0,0.00677
31.056,0,0.00287
31.057,0,0.00436
31.058,0,9.8e-4
31.059,0,0.00742
31.06,0,-5.2e-4
31.061,0,0.00366
31.062,0,-0.0025
31.063,0,0.00287
31.064,0,0.0097
31.065,0,0.00568
31.066,0,-4.9e-4
31.067,0,0.00381
31.068,0,-0.00153
31.069,0,-0.00104
31.07,0,0.00137
31.071,0,0.00266
31.072,0,0.00342
31.073,0,-0.00339
31.074,0,7.3e-4
31.075,0,0.00195
31.076,0,0.00128
31.077,0,0.00162
31.078,0,0.0065
31.079,0,5.2e-4
31.08,0,0.00299
31.081,0,0.00555
31.082,0,0.00439
31.083,0,0.00278
31.084,0,0.00449
31.085,0,-0.00488
31.086,0,0.00388
31.087,0,0.00381
31.088,0,-0.00467
31.089,0,-0.0119
31.09,0,0.00766
31.091,0,0.00281
31.092,0,0.00134
31.093,0,0.00143
31.094,0,0.00571
31.095,0,-7e-4
31.096,0,0.00638
31.097,0,0.00433
31.098,0,0.00528
31.099,0,0.0029
31.1,0,0.00122
31.101,0,0.01059
31.102,0,0.00735
31.103,0,-6e-5
31.104,0,0.00259
31.105,0,-0.00171
31.106,0,0.00412
31.107,0,0.0033
31.108,0,0.00543
31.109,0,0.00854
31.11,0,-0.00217
31.111,0,0.00211
31.112,0,-0.0036
31.113,0,-0.00467
31.114,0,0.00879
31.115,0,0.00876
31.116,0,-1.5e-4
31.117,0,0.00418
31.118,0,3.7e-4
31.119,0,0.0025
31.12,0,-0.00345
31.121,0,-7.6e-4
31.122,0,0.00537
31.123,0,0.00333
31.124,0,0.00192
31.125,0,0.00211
31.126,0,0.0047
31.127,0,0.00726
31.128,0,-0.00244
31.129,0,0.0036
31.13,0,0.00516
31.131,0,0.00537
31.132,0,0.00586
31.133,0,0.00214
31.134,0,7.6e-4
31.135,0,0.01001
31.136,0,0.0014
31.137,0,0.00211
31.138,0,-0.00919
31.139,0,0.01678
31.14,0,0.00479
31.141,0,0.008
31.142,0,6.7e-4
31.143,0,-6e-5
31.144,0,8.9e-4
31.145,0,0.00714
31.146,0,0.005
31.147,0,-0.00119
31.148,0,-0.0058
31.149,0,0.00208
31.15,0,0.0087
31.151,0,-5.2e-4
31.152,0,0.00131
31.153,0,0.00134
31.154,0,8.5e-4
31.155,0,0.00397
31.156,0,0.00146
31.157,0,0.00174
31.158,0,0.00751
31.159,0,0.0037200000000000002
31.16,0,0.00729
31.161,0,0.00305
31.162,0,0.00485
31.163,0,0.00455
31.164,0,-0.01401
31.165,0,0.01602
31.166,0,0.00452
31.167,0,0.01038
31.168,0,-0.00311
31.169,0,-0.00189
31.17,0,0.00143
31.171,0,0.00391
31.172,0,6.1e-4
31.173,0,-4e-4
31.174,0,0.02127
31.175,0,0.00833
31.176,0,0.00363
31.177,0,0.0018600000000000001
31.178,0,0.00397
31.179,0,0.00217
31.18,0,7e-4
31.181,0,0.00452
31.182,0,0.00278
31.183,0,0.00305
31.184,0,0.00125
31.185,0,0.00409
31.186,0,0.00507
31.187,0,0.00192
31.188,0,0.00443
31.189,0,-0.00259
31.19,0,0.0047
31.191,0,0.00583
31.192,0,-3.4e-4
31.193,0,-0.00232
31.194,0,0.00586
31.195,0,0.00766
31.196,0,0.00406
31.197,0,-0.00171
31.198,0,0.00305
31.199,0,-0.00302
31.2,0,0.00381
31.201,0,0.00436
31.202,0,0.00223
31.203,0,0.00455
31.204,0,0.01498
31.205,0,0.00482
31.206,0,0.00494
31.207,0,0.00348
31.208,0,-0.0014
31.209,0,0.00208
31.21,0,0.00418
31.211,0,0.00601
31.212,0,0
31.213,0,9.8e-4
31.214,0,0.00281
31.215,0,0.00436
31.216,0,0.00302
31.217,0,-1.8e-4
31.218,0,0.00217
31.219,0,0.0018
31.22,0,0.00421
31.221,0,0.0022
31.222,0,0.00272
31.223,0,0.0018600000000000001
31.224,0,-0.00101
31.225,0,0.00128
31.226,0,0.00546
31.227,0,-0.01318
31.228,0,0.01678
31.229,0,0.00253
31.23,0,-0.02127
31.231,0,0.01382
31.232,0,0.0029
31.233,0,0.00122
31.234,0,0.00458
31.235,0,0.00998
31.236,0,0.00842
31.237,0,0.0047
31.238,0,0.00726
31.239,0,0.00305
31.24,0,0.00244
31.241,0,3e-5
31.242,0,-0.00424
31.243,0,-0.004
31.244,0,0.00269
31.245,0,7e-4
31.246,0,0.00113
31.247,0,-0.00281
31.248,0,0.00485
31.249,0,2.7e-4
31.25,0,-2.7e-4
31.251,0,0.00705
31.252,0,0.01068
31.253,0,0.01117
31.254,0,0.00125
31.255,0,0.00131
31.256,0,-4.9e-4
31.257,0,0.00177
31.258,0,0.00778
31.259,0,0.00159
31.26,0,0.00217
31.261,0,0.00543
31.262,0,0.004
31.263,0,-2.7e-4
31.264,0,0.00693
31.265,0,0.00128
31.266,0,0.00302
31.267,0,0.00217
31.268,0,0.00385
31.269,0,-0.00122
31.27,0,0.00824
31.271,0,0.00281
31.272,0,0.008
31.273,0,-0.00143
31.274,0,1.8e-4
31.275,0,0.00494
31.276,0,0.00168
31.277,0,-0.00128
31.278,0,0.00983
31.279,0,-3.1e-4
31.28,0,-0.00406
31.281,0,0.00214
31.282,0,0.00101
31.283,0,-0.00491
31.284,0,0.00571
31.285,0,0.00229
31.286,0,0.00473
31.287,0,0.00241
31.288,0,0.00848
31.289,0,0.0069
31.29,0,0.00323
31.291,0,-5.2e-4
31.292,0,0.00211
31.293,0,0.00674
31.294,0,-6.4e-4
31.295,0,0.00388
31.296,0,-0.00146
31.297,0,-0.01376
31.298,0,0.01541
31.299,0,-0.00485
31.3,0,-0.00375
31.301,0,0.00558
31.302,0,0.0018
31.303,0,-0.00259
31.304,0,0.00702
31.305,0,6.1e-4
31.306,0,0.00766
31.307,0,0.00461
31.308,0,0.00659
31.309,0,0.00668
31.31,0,0.0069
31.311,0,0.00406
31.312,0,-0.00195
31.313,0,0.00354
31.314,0,2.7e-4
31.315,0,0.00369
31.316,0,0.00714
31.317,0,0.0036
31.318,0,-0.0018600000000000001
31.319,0,-0.00537
31.32,0,0.00897
31.321,0,-0.004
31.322,0,-0.0018
31.323,0,0.00238
31.324,0,0.00742
31.325,0,0.00537
31.326,0,-2.1e-4
31.327,0,0.00125
31.328,0,-0.00507
31.329,0,-0.01901
31.33,0,8.2e-4
31.331,0,0.01019
31.332,0,0.00632
31.333,0,-0.01205
31.334,0,0.01645
31.335,0,0.0144
31.336,0,0.00238
31.337,0,0.00552
31.338,0,5.5e-4
31.339,0,-0.0037200000000000002
31.34,0,-7.6e-4
31.341,0,0.00684
31.342,0,-2.4e-4
31.343,0,-6.4e-4
31.344,0,0.00232
31.345,0,0.00223
31.346,0,-0.0043
31.347,0,0.0037200000000000002
31.348,0,-0.00562
31.349,0,0.00998
31.35,0,0.00684
31.351,0,0.0037200000000000002
31.352,0,-0.00256
31.353,0,-0.00266
31.354,0,0.00403
31.355,0,2.7e-4
31.356,0,-0.00281
31.357,0,0.00507
31.358,0,0.00858
31.359,0,0.00262
31.36,0,-0.00195
31.361,0,-0.00134
31.362,0,0.00888
31.363,0,0.01736
31.364,0,0.00684
31.365,0,0.00208
31.366,0,0.00955
31.367,0,5.5e-4
31.368,0,-0.00476
31.369,0,0.00397
31.37,0,6.7e-4
31.371,0,0.00336
31.372,0,5.5e-4
31.373,0,0.00534
31.374,0,0.0116
31.375,0,0.00647
31.376,0,0.00284
31.377,0,5.2e-4
